model,repeat,swapped,winner,confidence,reasoning,experiment,tid,condition,tkg_len,imp_len
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a collaborative intent, whereas Email 2 is a general call for pape",hookcat,per-008,static,132,132
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, directly addresses the recipient's specific achievements and expertise, and seeks a collaborative connection, which is more likely to engage the ",hookcat,per-008,static,132,132
claude-sonnet-4-6,3,False,A,3,"Email 1 is more persuasive because it is personally tailored to the recipient with specific details about their work and achievements, creating a sense of genuine interest and rapport that makes the c",hookcat,per-008,static,132,132
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work, establishes a personal connection, and proposes a clear collaborative opportunity, whereas Email 2 is a g",hookcat,per-009,temporal,173,173
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it offers a clear, actionable opportunity for the recipient to contribute as a mentor, appealing to their expertise and desire to support emerging researchers, where",hookcat,per-009,temporal,173,173
claude-sonnet-4-6,1,False,A,3,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing paper titles, co-authors, and a conference presentation), which builds credibility a",hookcat,per-009,temporal,173,173
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, offers genuine compliments, and proposes a mutually beneficial collaboration, making it more engaging and",hookcat,per-009,temporal,173,173
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it personalizes the request by referencing the recipient's specific work and achievements, demonstrating genuine interest and building rapport, whereas Email 1 is a ",hookcat,per-009,temporal,173,173
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, publications, and conference presentations, which builds credibility and flatters the recip",hookcat,per-009,temporal,173,173
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it demonstrates familiarity with the recipient's work, offers specific compliments, and proposes a mutually beneficial collaboration, which is more engaging than the",hookcat,per-009,temporal,173,173
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates genuine engagement with the recipient's specific research, personalizes the request, and offers a mutually beneficial collaboration, whereas Email 2 ",hookcat,per-009,temporal,173,173
claude-sonnet-4-6,3,False,A,3,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work, references named collaborators and a particular conference, and creates a sense of personal connection an",hookcat,per-009,temporal,173,173
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges specific achievements, and proposes a mutually beneficial collaboration, whereas Email 2 is a general invitation lacking personaliza",hookcat,per-009,static,147,147
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it personalizes the request by referencing the recipient's specific achievements and aligning with their research interests, which creates a stronger sense of mutual",hookcat,per-009,static,147,147
claude-sonnet-4-6,1,False,A,3,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, mentorship activities, and grant achievement, which builds credibility and rapport more eff",hookcat,per-009,static,147,147
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and proposes a clear, mutually beneficial opportunity for collaboration, which is more engagi",hookcat,per-009,static,147,147
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references specific achievements of the recipient, and directly appeals to their interests and expertise, making the request feel tailored and si",hookcat,per-009,static,147,147
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, institution, and grant, creating a sense of genuine interest and flattery that makes the req",hookcat,per-009,static,147,147
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and proposes a mutually beneficial collaboration, whereas Email 2 is a generic invitation lac",hookcat,per-009,static,147,147
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it offers a clear, specific opportunity for the recipient to contribute their expertise in a meaningful way, which is more likely to elicit a positive response than ",hookcat,per-009,static,147,147
claude-sonnet-4-6,3,False,A,3,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, mentorship activities, and grant funding, which builds credibility and rapport, whereas Ema",hookcat,per-009,static,147,147
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, whereas Email 2 is a general call",hookcat,per-010,temporal,140,140
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, references specific work by the recipient, and seeks a direct collaborative discussion, which is more likely to engage the recipient than a gener",hookcat,per-010,temporal,140,140
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized details about the recipient's specific work, collaborators, and presentations to establish credibility and genuine interest, making the collabor",hookcat,per-010,temporal,140,140
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and directly proposes collaboration, which is more engaging than the general call for submiss",hookcat,per-010,temporal,140,140
deepseek-chat,2,True,A,5,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly appeals to collaboration, making it more engaging and likely to elicit a ",hookcat,per-010,temporal,140,140
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a paper, co-authors, a conference presentation, and a collaboration), which builds c",hookcat,per-010,temporal,140,140
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and directly requests collaboration, making it more engaging and targeted than the general an",hookcat,per-010,temporal,140,140
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly appeals for collaboration, making it more likely to engage the recipient'",hookcat,per-010,temporal,140,140
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized details about the recipient's specific work, collaborators, and conference appearances to establish credibility and genuine interest, making the",hookcat,per-010,temporal,140,140
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's achievements, proposes a clear collaborative opportunity, and directly requests a meeting, making it more engaging a",hookcat,per-010,static,180,180
